Locale,App Name,Short Description,Full Description
zh,NaviTV 浏览器,集成方向键和鼠标模式的 Android TV 智能浏览器。,"NaviTV 浏览器是专为 Android TV 打造的终极网页浏览器。在沙发上即可享受无缝的浏览体验。

功能特点：
- 方向键导航：使用标准电视遥控器轻松浏览网页。
- 虚拟鼠标模式：针对非电视友好型网站切换精确的光标操作。
- AI 页面总结：使用内置 AI 快速获取长篇文章的摘要。
- 广告拦截：内置网页广告拦截功能，让浏览更清爽。
- 书签与历史：保存喜爱的内容，随时回到上次浏览的位置。
- 全面优化：快速、安全，专为大屏幕设计。"
id,NaviTV Browser,Browser Web Pintar untuk Android TV dengan mode D-pad dan Mouse.,"NaviTV Browser adalah browser web terbaik yang dirancang khusus untuk Android TV. Nikmati pengalaman browsing yang lancar dari kenyamanan sofa Anda.

Fitur:
- Navigasi D-pad: Navigasi halaman web dengan mudah menggunakan remote TV standar Anda.
- Mode Mouse Virtual: Aktifkan kursor presisi untuk situs web yang tidak ramah TV.
- Ringkasan Halaman AI: Dapatkan ringkasan cepat artikel panjang dengan AI bawaan.
- Pemblokir Iklan: Menjelajah lebih bersih dengan pemblokiran iklan bawaan untuk situs web.
- Bookmark & Riwayat: Simpan situs favorit Anda dan lanjutkan dari bagian terakhir yang Anda tinggalkan.
- Teroptimasi Penuh: Cepat, aman, dan dibuat untuk layar besar."
nl,NaviTV Browser,Slimme webbrowser voor Android TV met D-pad en muismodus.,"NaviTV Browser is de ultieme webbrowser die speciaal is ontworpen voor Android TV. Geniet van een naadloze browse-ervaring vanuit het comfort van uw bank.

Functies:
- D-pad-navigatie: Navigeer eenvoudig door webpagina's met uw standaard TV-afstandsbediening.
- Virtuele muismodus: Schakel een nauwkeurige aanwijzer in voor websites die niet TV-vriendelijk zijn.
- AI-paginasamenvatting: Krijg snelle samenvattingen van lange artikelen met ingebouwde AI.
- Advertentieblokkering: Browse schoner met ingebouwde advertentieblokkering voor websites.
- Bladwijzers & Geschiedenis: Sla uw favoriete sites op en ga verder waar u was gebleven.
- Volledig geoptimaliseerd: Snel, veilig en gebouwd voor het grote scherm."
sv,NaviTV-webbläsare,Smart webbläsare för Android TV med styrkors och musläge.,"NaviTV Browser är den ultimata webbläsaren designad specifikuellt för Android TV. Njut av en sömlös surfupplevelse från bekvämligheten av din soffa.

Funktioner:
- Styrkorsnavigering: Navigera enkelt på webbsidor med din vanliga TV-fjärrkontroll.
- Virtuellt musläge: Aktivera en exakt pekare för webbplatser som inte är TV-vänliga.
- AI-sammanfattning: Få snabba sammanfattningar av långa artiklar med inbyggd AI.
- Annonsblockering: Surfa renare med inbyggd annonsblockering för webbplatser.
- Bokmärken & Historik: Spara dina favoritwebbplatser och fortsätt där du slutade.
- Fullt optimerad: Snabb, säker och byggd för den stora skärmen."
no,NaviTV-nettleser,Smart nettleser for Android TV med D-pad og musemodus.,"NaviTV Browser er den ultimate nettleseren designet spesielt for Android TV. Nyt en sømlös surfeopplevelse fra sofaen din.

Funksjoner:
- D-pad-navigering: Naviger enkelt på nettsider ved hjelp av din standard TV-fjernkontroll.
- Virtuell musemodus: Aktiver en presis peker for nettsteder som ikke er TV-vennlige.
- AI-sideoppsummering: Få raske sammendrag av lange artikler med innebygd AI.
- Annonseblokkering: Surf renere med innebygd annonseblokkering for nettsteder.
- Bokmerker og historikk: Lagre favorittsidene dine og fortsett der du slapp.
- Fullt optimalisert: Rask, sikker og bygget for storskjermen."
da,NaviTV Browser,Smart webbrowser til Android TV med D-pad og mustilstand.,"NaviTV Browser er den ultimative webbrowser designet specifikt til Android TV. Nyd en problemfri browsingoplevelse fra sofaens komfort.

Funktioner:
- D-pad-navigation: Naviger nemt på websider ved hjælp af din standard TV-fjernbetjening.
- Virtuel mustilstand: Skift til en præcis markør for websteder, der ikke er TV-venlige.
- AI-sideopsummering: Få hurtige resuméer af lange artikler med indbygget AI.
- Reklameblokering: Gennemse renere med indbygget reklameblokering for websteder.
- Bogmærker og historik: Gem dine yndlingssider, og fortsæt, hvor du slap.
- Fuldt optimeret: Hurtig, sikker og bygget til den store skærm."
fi,NaviTV Browser,Älykäs selain Android TV:lle (D-pad- ja hiiritila).,"NaviTV Browser on Android TV:lle suunniteltu huippuluokan verkkoselain. Nauti saumattomasta selauskokemuksesta mukavasti kotisohvaltasi.

Ominaisuudet:
- D-pad-navigointi: Navigoi helposti verkkosivuilla tavallisella television kaukosäätimellä.
- Virtuaalihiiritila: Käytä tarkkaa osoitinta sivustoilla, jotka eivät ole TV-ystävällisiä.
- Tekoälyyhteenveto: Saat nopeita yhteenvetoja pitkistä artikkeleista sisäänrakennetun tekoälyn avulla.
- Mainosten esto: Selaa puhtaammin verkkosivustojen mainosten eston avulla.
- Kirjanmerkit ja historia: Tallenna suosikkisivustosi ja jatka siitä, mihin jäit.
- Täysin optimoitu: Nopea, turvallinen ja rakennettu isolle näytölle."
pl,Przeglądarka NaviTV,Inteligentna przeglądarka na Android TV z pilotem i myszą.,"NaviTV Browser to najlepsza przeglądarka internetowa zaprojektowana specjalnie dla Android TV. Ciesz się płynnym przeglądaniem wprost z kanapy.

Funkcje:
- Nawigacja pilotem: Łatwo poruszaj się po stronach za pomocą standardowego pilota TV.
- Tryb wirtualnej myszy: Precyzyjny wskaźnik dla witryn nieprzystosowanych do TV.
- Podsumowanie AI: Szybkie streszczenia długich artykułów dzięki wbudowanej sztucznej inteligencji.
- Blokowanie reklam: Czyste przeglądanie dzięki wbudowanej blokadzie reklam na stronach.
- Zakładki i historia: Zapisuj ulubione witryny i wracaj do nich w dowolnym momencie.
- Pełna optymalizacja: Szybka, bezpieczna i stworzona dla dużych ekranów."
el,Πρόγραμμα NaviTV,Έξυπνο πρόγραμμα περιήγησης για Android TV με D-pad.,"Το NaviTV Browser είναι το απόλυτο πρόγραμμα περιήγησης ιστού σχεδιασμένο ειδικά για το Android TV. Απολαύστε μια απρόσκοπτη εμπειρία περιήγησης από την άνεση του καναπέ σας.

Χαρακτηριστικά:
- Πλοήγηση D-pad: Περιηγηθείτε εύκολα σε ιστοσελίδες χρησιμοποιώντας το τυπικό τηλεχειριστήριο της τηλεόρασής σας.
- Λειτουργία εικονικού ποντικιού: Ενεργοποιήστε έναν κέρσορα ακριβείας για ιστότοπους που δεν είναι φιλικοί προς την τηλεόραση.
- Σύνοψη σελίδας AI: Λάβετε γρήγορες περιλήψεις μεγάλων άρθρων με ενσωματωμένη τεχνητή νοημοσύνη.
- Αποκλεισμός διαφημίσεων: Περιηγηθείτε πιο καθαρά με ενσωματωμένο αποκλεισμό διαφημίσεων για ιστότοπους.
- Σελιδοδείκτες & Ιστορικό: Αποθηκεύστε τους αγαπημένους σας ιστότοπους και συνεχίστε από εκεί που σταματήσατε.
- Πλήρως βελτιστοποιημένο: Γρήγορο, ασφαλές και κατασκευασμένο για τη μεγάλη οθόνη."
hu,NaviTV Böngésző,Okos böngésző Android TV-re D-paddal és egér móddal.,"A NaviTV Browser a kifejezetten Android TV-re tervezett tökéletes böngésző. Élvezze a zökkenőmentes böngészést a kanapéja kényelméből.

Jellemzők:
- D-pad navigáció: Könnyedén navigálhat a weboldalakon a standard TV távirányítóval.
- Virtuális egér mód: Pontos mutató használata a nem TV-barát webhelyekhez.
- AI oldalösszefoglaló: Gyors összefoglalók a hosszú cikkekről a beépített MI segítségével.
- Hirdetésblokkolás: Tisztább böngészés a webhelyek beépített hirdetésblokkolójával.
- Könyvjelzők és előzmények: Mentse el kedvenc webhelyeit, és folytassa ott, ahol abbahagyta.
- Teljesen optimalizált: Gyors, biztonságos és a nagy képernyőre készült."
ro,Browser NaviTV,Browser inteligent pentru Android TV cu mod D-pad și mouse.,"NaviTV Browser este browserul web suprem conceput special pentru Android TV. Bucurați-vă de o experiență de navigare fără probleme din confortul canapelei dumneavoastră.

Caracteristici:
- Navigare D-pad: Navigați cu ușurință pe paginile web folosind telecomanda standard a televizorului.
- Mod mouse virtual: Comutați la un cursor precis pentru site-urile care nu sunt adaptate pentru TV.
- Rezumat pagină AI: Obțineți rezumate rapide ale articolelor lungi cu AI încorporat.
- Blocare reclame: Navigați mai curat cu blocarea reclamelor încorporată pentru site-uri web.
- Marcaje și istoric: Salvați site-urile preferate și reluați de unde ați rămas.
- Complet optimizat: Rapid, sigur și construit pentru ecranul mare."
cs,Prohlížeč NaviTV,Chytrý prohlížeč pro Android TV s ovladačem a myší.,"NaviTV Browser je špičkový webový prohlížeč navržený speciálně pro Android TV. Užijte si plynulé prohlížení z pohodlí vaší pohovky.

Vlastnosti:
- Navigace ovladačem: Snadno procházejte webové stránky pomocí standardního dálkového ovladače k TV.
- Režim virtuální myši: Aktivujte přesný ukazatel pro weby, které nejsou optimalizovány pro TV.
- AI shrnutí stránky: Získejte rychlé souhrny dlouhých článků pomocí vestavěné umělé inteligence.
- Blokování reklam: Prohlížejte čistěji díky vestavěnému blokování reklam pro weby.
- Záložky a historie: Uložte si své oblíbené weby a pokračujte tam, kde jste skončili.
- Plně optimalizováno: Rychlé, bezpečné a vytvořené pro velkou obrazovku."
th,NaviTV เบราว์เซอร์,เว็บเบราว์เซอร์อัจฉริยะสำหรับ Android TV พร้อมโหมดเมาส์.,"NaviTV Browser คือสุดยอดเว็บเบราว์เซอร์ที่ออกแบบมาสำหรับ Android TV โดยเฉพาะ เพลิดเพลินกับประสบการณ์การท่องเว็บที่ราบรื่นจากโซฟาของคุณ

คุณสมบัติ:
- การนำทางด้วย D-pad: ท่องหน้าเว็บได้อย่างง่ายดายโดยใช้รีโมททีวีมาตรฐานของคุณ
- โหมดเมาส์เสมือน: ใช้งานตัวชี้ที่แม่นยำสำหรับเว็บไซต์ที่ไม่รองรับทีวี
- สรุปหน้าเว็บด้วย AI: รับสรุปบทความยาวๆ อย่างรวดเร็วด้วย AI ในตัว
- การบล็อกโฆษณา: ท่องเว็บได้สะอาดตาขึ้นด้วยการบล็อกโฆษณาในตัวสำหรับเว็บไซต์
- บุ๊กมาร์กและประวัติ: บันทึกไซต์โปรดของคุณและทำต่อจากที่ค้างไว้
- เพิ่มประสิทธิภาพสูงสุด: รวดเร็ว ปลอดภัย และสร้างมาเพื่อหน้าจอขนาดใหญ่"
ms,Pelayar NaviTV,Pelayar Web Pintar untuk Android TV dengan mod D-pad.,"Pelayar NaviTV ialah pelayar web terbaik yang direka khusus untuk Android TV. Nikmati pengalaman pelayaran yang lancar dari keselesaan sofa anda.

Ciri-ciri:
- Navigasi D-pad: Navigasi halaman web dengan mudah menggunakan alat kawalan jauh TV standard anda.
- Mod Tetikus Maya: Togol penunjuk tepat untuk tapak web yang tidak mesra TV.
- Ringkasan Halaman AI: Dapatkan ringkasan pantas artikel panjang dengan AI terbina dalam.
- Penyekatan iklan: Layari lebih bersih dengan penyekatan iklan terbina dalam untuk tapak web.
- Penanda Halaman & Sejarah: Simpan tapak kegemaran anda dan sambung semula di tempat anda berhenti.
- Dioptimumkan Sepenuhnya: Pantas, selamat dan dibina untuk skrin besar."
